COMPANY NAME,CITY,LATITUDE,LONGITUDE,PRIMARY NAICS DESCRIPTION
Dickey's Barbecue Pit,Auburn,47.296395,-122.247017,Limited-Service Restaurants
Dickey's Barbecue Pit,Bellevue,47.628311,-122.151453,Limited-Service Restaurants
Dickey's Barbecue Pit,Bonney Lake,47.16702,-122.14817,Limited-Service Restaurants
Dickey's Barbecue Pit,Bremerton,47.558212,-122.676818,Limited-Service Restaurants
Dickey's Barbecue Pit,Everett,47.882355,-122.242018,Limited-Service Restaurants
Dickey's Barbecue Pit,Gig Harbor,47.3595,-122.60182,Limited-Service Restaurants
Dickey's Barbecue Pit,Issaquah,47.54409,-122.04706,Limited-Service Restaurants
Dickey's Barbecue Pit,Kent,47.380854,-122.253075,Limited-Service Restaurants
Dickey's Barbecue Pit,Olympia,47.038879,-122.940009,Limited-Service Restaurants
Dickey's Barbecue Pit,Port Orchard,47.533033,-122.620864,Limited-Service Restaurants
Dickey's Barbecue Pit,Poulsbo,47.761954,-122.660398,Limited-Service Restaurants
Dickey's Barbecue Pit,Puyallup,47.153686,-122.293579,Limited-Service Restaurants
Dickey's Barbecue Pit,Richland,46.258549,-119.306393,Limited-Service Restaurants
Dickey's Barbecue Pit,Spokane,47.772509,-117.402649,Limited-Service Restaurants
Dickey's Barbecue Pit,Spokane Valley,47.656733,-117.20617,Limited-Service Restaurants
Dickey's Barbecue Pit,Tacoma,47.254873,-122.505615,Limited-Service Restaurants
Dickey's Barbecue Pit,Tacoma,47.180013,-122.462791,Limited-Service Restaurants
